epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1848,0.84226,1.38786,1.34765,0.92841,0.66008,0.83275,0.57408,0.9608,2.1849,1.88203,6.668e-05,6.668e-05,6.668e-05
2,100.641,0.80689,1.1778,1.35741,0.77383,0.5,0.6002,0.44698,0.99501,2.47676,1.91537,0.000147555,0.000147555,0.000147555
3,153.508,0.82271,1.16222,1.33785,0.80976,0.52825,0.64218,0.43699,1.20242,3.08647,2.05736,0.000225678,0.000225678,0.000225678
4,206.218,0.8308,1.2074,1.38026,0.77705,0.6,0.68673,0.42599,1.38319,3.59011,2.10311,0.000301052,0.000301052,0.000301052
5,263.551,0.75519,1.05882,1.27591,0.59213,0.6,0.60113,0.4548,1.30916,2.55089,2.02214,0.000373675,0.000373675,0.000373675
6,318.413,0.74014,1.02435,1.2769,0.74412,0.78189,0.8069,0.53074,1.12233,2.29584,2.02914,0.000443547,0.000443547,0.000443547
7,364.58,0.81931,1.09174,1.34456,0.87791,0.8,0.9075,0.55392,1.01636,2.61059,2.09177,0.000510669,0.000510669,0.000510669
8,412.558,0.77169,1.02481,1.3076,0.82407,0.8,0.92045,0.56982,1.1115,2.52685,2.07869,0.00057504,0.00057504,0.00057504
9,458.028,0.73123,1.00843,1.28262,0.99345,0.9,0.9575,0.5813,1.13145,2.06403,2.24539,0.000636661,0.000636661,0.000636661
10,507.625,0.7689,1.06327,1.28503,0.84934,1,0.97833,0.54585,1.22766,2.01442,2.39729,0.000695531,0.000695531,0.000695531
11,556.092,0.77371,1.01663,1.29204,0.77049,0.9,0.88083,0.46923,1.34488,2.22701,2.48843,0.00075165,0.00075165,0.00075165
12,611.797,0.85501,1.07685,1.36986,0.95798,0.96893,0.995,0.55258,1.4636,1.8046,2.61655,0.000805019,0.000805019,0.000805019
13,663.437,0.88603,1.10964,1.34249,0.79486,0.9,0.96643,0.48318,1.53051,2.09873,2.54555,0.000855638,0.000855638,0.000855638
14,712.177,0.94077,1.14502,1.47961,0.84844,0.65218,0.84222,0.39921,1.85693,2.4372,3.00138,0.000903506,0.000903506,0.000903506
15,765.684,0.93034,1.20778,1.41566,0.56323,0.6,0.62571,0.35263,1.32754,2.23478,2.49248,0.000948623,0.000948623,0.000948623
16,821.674,0.88598,1.19916,1.39249,0.6146,0.78738,0.69313,0.33861,1.20933,2.19255,2.37189,0.00099099,0.00099099,0.00099099
17,873.321,0.82913,1.07601,1.35614,0.66063,0.78417,0.82278,0.40683,1.26547,2.14875,2.63359,0.00103061,0.00103061,0.00103061
18,923.888,0.84813,1.10272,1.36984,0.68179,0.71067,0.83188,0.4735,1.29477,1.9334,2.6288,0.00106747,0.00106747,0.00106747
19,973.162,0.85545,1.0209,1.36369,0.87266,0.9,0.89542,0.50689,1.22948,2.04044,2.55068,0.00110159,0.00110159,0.00110159
20,1022.38,0.91173,1.13037,1.43543,0.96469,0.8,0.93786,0.63451,1.15594,1.49452,2.65792,0.00113295,0.00113295,0.00113295
21,1072.39,0.89581,1.16595,1.36472,0.82423,1,0.96167,0.641,1.20443,1.46935,2.69077,0.00111689,0.00111689,0.00111689
22,1121.89,0.89652,1.14861,1.39519,0.88108,0.89468,0.9375,0.60706,1.16139,1.51467,2.59446,0.00108938,0.00108938,0.00108938
23,1170.32,0.84866,1.02605,1.362,0.89405,0.8,0.92045,0.56589,1.26771,1.66127,2.62623,0.00106188,0.00106188,0.00106188
24,1219.01,0.92761,1.09375,1.42075,0.74873,0.76965,0.71382,0.42806,1.26465,2.20138,2.56987,0.00103437,0.00103437,0.00103437
25,1264.79,0.79699,0.97927,1.30298,0.91009,0.75072,0.78142,0.49158,1.05456,2.15882,2.20284,0.00100687,0.00100687,0.00100687
26,1308.82,0.92806,1.02473,1.42108,0.71515,0.9,0.83108,0.54096,1.05103,1.90836,2.16397,0.000979362,0.000979362,0.000979362
27,1355.31,0.86439,0.97914,1.34124,0.68157,0.9,0.94045,0.63412,0.97989,1.95542,1.99592,0.000951857,0.000951857,0.000951857
28,1401.48,0.84147,1.01341,1.35354,0.9538,0.68784,0.90611,0.59324,1.1366,1.67555,2.08623,0.000924352,0.000924352,0.000924352
29,1445.72,0.79282,0.93899,1.28875,0.89791,0.77511,0.90976,0.50329,1.32672,1.66169,2.27076,0.000896846,0.000896846,0.000896846
30,1491.62,0.76851,0.93601,1.286,0.81676,0.77511,0.82979,0.44615,1.45474,1.97053,2.4819,0.00086934,0.00086934,0.00086934
31,1538.32,0.93057,0.98797,1.41403,0.79506,0.86053,0.8825,0.50431,1.53527,1.90482,2.42271,0.000841835,0.000841835,0.000841835
32,1584.08,0.87268,0.92667,1.35678,0.98053,0.8,0.94976,0.61871,1.29674,1.60452,2.05683,0.000814329,0.000814329,0.000814329
33,1629.4,0.84903,0.91848,1.37008,0.97258,0.7889,0.96167,0.7037,1.20648,1.50707,2.06376,0.000786824,0.000786824,0.000786824
34,1675.11,0.85077,0.97306,1.36781,0.87838,0.9,0.95056,0.65724,1.17506,1.41403,2.10545,0.000759318,0.000759318,0.000759318
35,1721.28,0.79222,0.94348,1.33918,0.94872,0.67764,0.87952,0.60688,1.13971,1.46834,2.11125,0.000731813,0.000731813,0.000731813
36,1768.66,0.73888,0.84388,1.28698,0.62229,0.9,0.88712,0.61085,1.02227,1.61942,2.00992,0.000704307,0.000704307,0.000704307
37,1819.03,0.7628,0.86842,1.27285,0.80814,0.69377,0.81596,0.54883,1.08757,1.72218,2.11245,0.000676802,0.000676802,0.000676802
38,1870.18,0.75144,0.85856,1.31302,0.82248,0.7,0.825,0.58468,1.13202,1.65083,2.19459,0.000649297,0.000649297,0.000649297
39,1918.01,0.8037,0.89537,1.35398,0.98319,0.7,0.85278,0.61614,1.14909,1.51345,2.23127,0.000621791,0.000621791,0.000621791
40,1973.01,0.77204,0.9018,1.30841,0.97331,0.73181,0.92379,0.63415,1.2485,1.48022,2.31867,0.000594286,0.000594286,0.000594286
41,2026.4,0.77955,0.97267,1.33843,0.97256,0.74144,0.93389,0.63549,1.15803,1.49622,2.34632,0.00056678,0.00056678,0.00056678
42,2078.55,0.77879,0.78997,1.29478,0.84666,0.88145,0.93667,0.6001,1.24419,1.46613,2.46314,0.000539275,0.000539275,0.000539275
43,2127.79,0.75008,0.78326,1.30174,0.96844,0.76068,0.94045,0.63803,1.2766,1.54204,2.58542,0.000511769,0.000511769,0.000511769
44,2182.75,0.70058,0.80361,1.26811,0.98287,0.79528,0.94976,0.56131,1.42726,1.65069,2.70347,0.000484263,0.000484263,0.000484263
45,2244.44,0.7894,0.85764,1.3587,0.92284,0.77659,0.94976,0.56587,1.46408,1.501,2.6887,0.000456758,0.000456758,0.000456758
46,2296.13,0.64342,0.73652,1.19853,0.93831,0.88428,0.96643,0.63906,1.30826,1.42115,2.47728,0.000429253,0.000429253,0.000429253
47,2339.86,0.73782,0.80018,1.27662,0.87243,0.9,0.96643,0.66156,1.21881,1.30257,2.37152,0.000401747,0.000401747,0.000401747
48,2390.31,0.67337,0.75936,1.21279,0.9571,0.99204,0.995,0.69914,1.15102,1.13837,2.26892,0.000374242,0.000374242,0.000374242
49,2439.88,0.80311,0.87179,1.35565,0.95813,0.99022,0.995,0.7006,1.09222,1.10979,2.16467,0.000346736,0.000346736,0.000346736
50,2488.73,0.72458,0.75297,1.25856,0.8864,1,0.97833,0.68943,1.03424,1.02218,2.10543,0.000319231,0.000319231,0.000319231
51,2536.38,0.67172,1.12446,1.31228,0.96187,0.99297,0.995,0.71922,1.02337,0.95654,2.03946,0.000291725,0.000291725,0.000291725
52,2587.14,0.61186,0.99081,1.26904,0.96648,0.9941,0.995,0.75662,0.99064,0.97544,2.05955,0.00026422,0.00026422,0.00026422
53,2636.39,0.53578,0.89963,1.2442,0.99206,1,0.995,0.6679,1.05843,1.01261,2.12573,0.000236714,0.000236714,0.000236714
54,2685.7,0.54541,0.95321,1.2636,0.97904,1,0.995,0.65121,1.11367,0.99719,2.11483,0.000209209,0.000209209,0.000209209
55,2742.08,0.47177,0.87807,1.19075,0.97995,1,0.995,0.68084,1.0985,0.99492,2.06015,0.000181703,0.000181703,0.000181703
56,2789.66,0.53239,0.85855,1.21877,0.97993,1,0.995,0.75103,0.99221,1.01796,1.8911,0.000154198,0.000154198,0.000154198
